"rating","aroma","flavor","aftertaste","acidity","body","altitude"
82.17,7.33,7.25,7.25,7.58,7.75,1750
79.25,7.08,6.83,6.83,7.25,7.42,850
79,7.33,7.17,6.58,7.42,7.08,1219.2
81.83,7.42,7.42,7.42,7.33,7.42,1300
84.58,7.67,7.83,7.83,8,7.58,1750
83.58,7.58,7.67,7.58,7.58,7.67,890
83,7.58,7.75,7.42,7.67,7.58,1000
82.67,7.75,7.58,7.67,7.25,7.58,1800
82.17,7.67,7.5,7.25,7.42,7.58,1350
84.67,8,7.92,7.75,7.75,7.75,1000
84.58,7.83,7.67,7.58,7.92,7.67,1500
80.92,7.58,7.33,7.08,7.5,7.17,1186
80.83,7.17,7.08,7.25,7.42,7.25,1210
82.17,7.75,7.42,7.42,7.58,7.33,1700
81.25,7.83,7.75,7.67,7.83,7.83,680
81,7.58,7.67,7.5,7.67,7.58,1100
83.17,7.75,7.5,7.58,7.5,7.75,1000
81.5,7.42,7.25,7.17,7.42,7.17,1100
84.08,7.58,7.67,7.67,7.67,7.75,968
81.83,7.67,7.5,7.5,7.25,7.08,1300
82,7.58,7.5,7.17,7.5,7.5,950
83,7.67,7.67,7.42,7.83,7.5,1500
78.58,7.33,7.17,6.92,7.58,7.25,1219.2
83.5,7.75,7.67,7.67,7.75,7.33,1400
84.17,7.75,7.83,7.58,7.83,7.67,1700
82.75,7.58,7.33,7.17,7.33,7.25,1300
82.33,7.5,7.42,7.5,7.5,7.5,1750
86,7.92,8.17,7.83,8.5,7.5,1860
79.08,7.33,7,6.92,7.25,7.33,1500
85.33,7.83,7.75,7.83,7.67,7.83,1770
82,7.42,7.5,7.25,7.5,7.5,1050
80.42,6.92,7.17,7.08,7.5,7.33,1050
78.5,7.25,7.17,7,6.83,7.58,1200
82,7.5,7.5,7.17,7.5,7.5,1600
81.42,7.42,7.33,7.08,7.58,7.33,1371.6
84.67,7.92,7.83,7.75,7.75,7.75,1200
80.58,7.17,7.42,6.83,7.5,7.17,1383.792
